                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0918,                  4.687,                 1.0428,                0.01026,                      1,                0.46433,                 0.4179,                0.48164,                 4.4108,                 0.8352,              0.0001375,              0.0001375,              0.0001375
                      2,                 1.0715,                 3.8895,                 1.0747,                0.01261,                      1,                0.55388,                  0.464,                0.74664,                 4.3031,                0.88214,             0.00027011,             0.00027011,             0.00027011
                      3,                  1.026,                 3.4233,                 1.0628,                0.01606,                      1,                0.60363,                0.53531,                0.66946,                 4.0247,                0.86569,             0.00039134,             0.00039134,             0.00039134
                      4,                 1.1254,                 3.2461,                 1.0824,                 0.7958,                    0.4,                0.84575,                0.81093,                0.63947,                 3.7863,                 0.8905,             0.00050118,             0.00050118,             0.00050118
                      5,                 1.0546,                 2.8891,                 1.0658,                0.63131,                    0.8,                 0.8955,                  0.796,                0.64124,                 3.1809,                0.86415,               0.000526,               0.000526,               0.000526
                      6,                 1.1315,                 2.8779,                  1.106,                0.44586,                0.66606,                0.76283,                0.65338,                0.77216,                 3.4813,                0.88377,               0.000526,               0.000526,               0.000526
                      7,                 1.0902,                 2.7335,                 1.1179,                0.76222,                    0.6,                0.86233,                0.78273,                0.74709,                 3.1246,                0.85813,             0.00050125,             0.00050125,             0.00050125
                      8,                 1.1207,                 2.5515,                 1.0933,                0.67729,                    0.6,                0.84575,                 0.7761,                0.58583,                 3.2948,                0.83151,              0.0004765,              0.0004765,              0.0004765
                      9,                 1.0642,                 2.5154,                  1.121,                0.57699,                    0.8,                  0.995,                 0.8557,                0.68074,                 2.8951,                0.86238,             0.00045175,             0.00045175,             0.00045175
                     10,                0.96519,                 2.6959,                 1.0049,                0.54398,                    0.8,                 0.8955,                 0.7164,                0.80475,                 2.5952,                 0.8878,               0.000427,               0.000427,               0.000427
                     11,                 1.0357,                 2.5346,                 1.1321,                0.52365,                      1,                 0.8955,                 0.7761,                0.69307,                 2.6425,                0.84921,             0.00040225,             0.00040225,             0.00040225
                     12,                  1.062,                 2.3871,                 1.1056,                0.53516,                0.94939,                 0.8955,                  0.796,                0.55663,                  2.398,                0.80825,              0.0003775,              0.0003775,              0.0003775
                     13,                0.94626,                 2.2822,                 1.0518,                0.65316,                    0.8,                 0.8955,                0.82585,                0.50189,                  2.308,                 0.8005,             0.00035275,             0.00035275,             0.00035275
                     14,                0.98981,                 2.2159,                 1.0391,                0.44028,                0.93821,                  0.796,                0.72635,                0.55805,                 2.3382,                0.82299,               0.000328,               0.000328,               0.000328
                     15,                 1.0193,                 2.1457,                 1.0611,                0.74656,                    0.8,                 0.8955,                0.80595,                0.52106,                 2.3415,                 0.8196,             0.00030325,             0.00030325,             0.00030325
                     16,                0.92874,                 2.2784,                 1.0756,                0.49886,                0.92297,                 0.8955,                0.82585,                0.48254,                 2.2361,                0.80883,              0.0002785,              0.0002785,              0.0002785
                     17,                0.90827,                 2.2232,                 1.0529,                0.78021,                    0.8,                 0.8955,                 0.7562,                0.59066,                 2.1083,                0.84496,             0.00025375,             0.00025375,             0.00025375
                     18,                0.89916,                 2.2574,                 1.0385,                0.61756,                      1,                  0.995,                 0.8159,                0.66002,                 2.2128,                0.86902,               0.000229,               0.000229,               0.000229
                     19,                0.86526,                 2.1734,                 1.0475,                0.89688,                    0.8,                  0.995,                 0.8756,                0.47995,                 2.3157,                0.82131,             0.00020425,             0.00020425,             0.00020425
                     20,                0.85394,                 2.0696,                 1.0366,                0.82731,                    0.8,                  0.995,                 0.8756,                0.51356,                 2.0768,                0.80886,              0.0001795,              0.0001795,              0.0001795
                     21,                0.85094,                 1.9847,                 1.0226,                0.84978,                    0.8,                  0.995,                 0.8756,                0.58904,                 2.1092,                0.82663,             0.00015475,             0.00015475,             0.00015475
                     22,                0.82276,                 2.0216,                  1.034,                0.84159,                    0.8,                  0.995,                 0.8756,                0.55912,                 2.1198,                0.82288,                0.00013,                0.00013,                0.00013
                     23,                0.87464,                 1.9724,                 1.0189,                0.74131,                    0.8,                  0.995,                 0.8756,                0.54349,                 2.1046,                0.81854,             0.00010525,             0.00010525,             0.00010525
                     24,                0.78953,                 1.8921,                0.98691,                0.71147,                    0.8,                  0.995,                 0.8557,                0.53611,                  2.106,                0.81007,               8.05e-05,               8.05e-05,               8.05e-05
                     25,                0.78229,                 1.8794,                 1.0164,                 0.5236,                      1,                  0.995,                 0.8557,                0.51747,                 2.0872,                0.80064,              5.575e-05,              5.575e-05,              5.575e-05
