                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1982,                 4.9245,                 1.1648,                0.60714,                    0.6,                  0.597,                 0.5373,                0.61647,                 6.6965,                0.86815,             0.00020312,             0.00020312,             0.00020312
                      2,                  1.006,                 2.6865,                 1.0598,                0.38467,                0.66983,                0.66333,                  0.597,                0.58504,                 3.4546,                0.93294,             0.00040331,             0.00040331,             0.00040331
                      3,                 1.0182,                 2.1244,                 1.1003,                0.40735,                0.80876,                 0.6965,                  0.597,                0.53853,                 2.6293,                0.92209,             0.00059525,             0.00059525,             0.00059525
                      4,                 1.0842,                 1.8792,                 1.1246,                 0.4844,                      1,                0.86233,                0.72303,                0.72271,                  2.298,                 1.0563,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.0412,                  1.843,                 1.1004,                0.43377,                      1,                  0.995,                 0.8955,                0.57112,                 1.5833,                 0.9275,             0.00058787,             0.00058787,             0.00058787
                      6,                 1.0029,                 1.6984,                 1.1106,                0.63858,                    0.8,                  0.995,                 0.8756,                0.62019,                 1.9313,                  1.055,              0.0005755,              0.0005755,              0.0005755
                      7,                 0.9786,                 1.5683,                 1.1079,                 0.9423,                    0.6,                  0.796,                 0.7164,                0.71551,                  1.748,                 1.1436,             0.00056313,             0.00056313,             0.00056313
                      8,                0.97344,                 1.4235,                 1.1143,                0.41235,                0.83462,                 0.8955,                0.78605,                 0.6337,                  1.516,                 1.0136,             0.00055075,             0.00055075,             0.00055075
                      9,                 1.0043,                 1.3354,                 1.1263,                0.56881,                0.99195,                  0.796,                 0.7164,                0.53798,                 1.7348,                 1.0229,             0.00053838,             0.00053838,             0.00053838
                     10,                0.92482,                 1.2687,                 1.0546,                0.52976,                0.99491,                 0.8955,                  0.796,                0.69675,                 1.3259,                 1.0805,               0.000526,               0.000526,               0.000526
                     11,                0.93438,                  1.143,                 1.0783,                0.50688,                      1,                  0.995,                 0.8756,                0.57685,                 1.1077,                 1.0382,             0.00051363,             0.00051363,             0.00051363
                     12,                0.95813,                 1.1373,                 1.0644,                 0.7409,                    0.8,                  0.995,                 0.8557,                0.68507,                 1.1087,                0.92132,             0.00050125,             0.00050125,             0.00050125
                     13,                 0.9183,                 1.1252,                 1.0586,                0.46633,                0.90061,                  0.796,                0.72635,                0.61713,                 1.3511,                0.89305,             0.00048888,             0.00048888,             0.00048888
                     14,                0.93031,                 1.1146,                 1.0731,                0.65365,                      1,                  0.995,                 0.8557,                0.59807,                0.99502,                0.91892,              0.0004765,              0.0004765,              0.0004765
                     15,                0.92692,                  1.047,                 1.0474,                0.58938,                      1,                 0.8955,                0.78605,                0.58562,                0.82001,                0.90758,             0.00046413,             0.00046413,             0.00046413
                     16,                0.87932,                0.98076,                 1.0354,                0.77561,                    0.8,                  0.995,                 0.8358,                0.64042,                0.91215,                0.93792,             0.00045175,             0.00045175,             0.00045175
                     17,                0.90294,                0.99493,                 1.0568,                0.74763,                    0.8,                  0.995,                 0.9154,                0.55329,                 1.1319,                0.88362,             0.00043937,             0.00043937,             0.00043937
                     18,                0.86844,                 1.0063,                 1.0251,                0.50394,                0.98333,                  0.796,                0.72635,                0.53876,                 1.1412,                0.89594,               0.000427,               0.000427,               0.000427
                     19,                0.88191,                 0.9192,                 1.0191,                0.49268,                      1,                  0.995,                 0.9154,                0.55232,                   1.07,                0.88224,             0.00041462,             0.00041462,             0.00041462
                     20,                0.84595,                0.86361,                0.98685,                0.84206,                    0.8,                  0.995,                 0.8557,                0.51436,                0.76484,                0.89367,             0.00040225,             0.00040225,             0.00040225
                     21,                 0.9196,                0.99231,                 1.0629,                0.75472,                    0.8,                 0.8955,                0.82585,                0.51191,                 1.1523,                0.86291,             0.00038988,             0.00038988,             0.00038988
                     22,                0.85495,                0.87383,                 1.0227,                0.61508,                    0.8,                 0.8955,                0.76615,                0.54606,                 1.4248,                0.89997,              0.0003775,              0.0003775,              0.0003775
                     23,                0.83322,                0.84438,                  1.009,                0.63008,                      1,                 0.8955,                 0.8358,                0.42963,                0.94052,                 0.8671,             0.00036513,             0.00036513,             0.00036513
